disorder	graphpred_col	prsice_col	n	pearson	spearman
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_5e-08	119	0.627322637855167	0.615610311921379
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_1e-06	119	0.666488011290888	0.648668280871671
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.0001	119	0.698007682592769	0.665517732516736
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.001	119	0.727338672811565	0.739267910554052
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.01	119	0.789318322343056	0.780779091297536
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.05	119	0.814091266694973	0.830771969804871
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.1	119	0.828358074324551	0.841347386412192
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_0.5	119	0.815655591605917	0.829490101125196
BPD	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	PRSice_BPD_Pt_1	119	0.813855671632877	0.825174476570289
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_5e-08	119	0.431660355787292	0.393113516593078
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_1e-06	119	0.503629474275379	0.48602763139154
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.0001	119	0.611939028169316	0.616742629255092
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.001	119	0.702360537387273	0.695292693348526
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.01	119	0.764468674085954	0.745449366187153
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.05	119	0.792858290899503	0.77978920381712
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.1	119	0.796161717719931	0.776855148839197
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_0.5	119	0.798396491873135	0.778970232160661
MDD	MDD_MDD_2025_pgs_a0.5_b2e-08	PRSice_MDD_Pt_1	119	0.798250196060311	0.777809428856288
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_5e-08	119	0.679218236919935	0.662612163509472
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_1e-06	119	0.707458309341647	0.682723258795044
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.0001	119	0.738558371324996	0.717326591653611
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.001	119	0.790125429810648	0.767269619712292
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.01	119	0.79333217807316	0.750056971941319
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.05	119	0.825026915058488	0.794509329155391
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.1	119	0.802752379130114	0.772717561600912
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_0.5	119	0.780625398350746	0.75519868964535
SCZD	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_SCZD_Pt_1	119	0.780925267873703	0.751673550776243
