--counts	BIP_2024.EUR_pgs_a0.5_b5e-08
Br1113	-0.00877081
Br1204	-0.262100
Br1092	-0.520929
Br5156	0.111792
Br5392	-0.911718
Br5288	-0.0679463
Br5481	-0.499343
Br5366	-1.19385
Br5437	-0.450127
Br5249	-0.0327815
Br5137	-1.00517
Br5477	-0.353610
Br5395	-0.0778092
Br5400	-0.183764
Br5440	-0.184262
Br5558	-0.122549
Br5572	-0.341042
Br5599	-0.544059
Br5622	-0.639056
Br5448	-0.396370
Br5454	-0.587585
Br5472	-0.867895
Br5451	-0.261837
Br5803	-0.108981
Br5831	-0.576454
Br5939	-0.207687
Br5623	-0.315974
Br5834	-0.584330
Br5312	-0.385719
Br5266	-0.395485
Br5617	-0.386113
Br5753	-0.593571
Br5799	-0.159295
Br5916	-0.681430
Br5436	-0.331889
Br5272	-0.363795
Br5594	-0.941955
Br5639	-0.183175
Br5589	-0.688624
Br5993	-0.777752
Br6016	-0.392770
Br5600	-0.521906
Br5760	-0.767563
Br5856	-0.541760
Br5861	-0.589899
Br5910	-0.643099
Br5958	-0.563206
Br8100	-1.02121
Br5673	-0.00636265
Br5694	-1.01047
Br8218	-0.211252
Br5666	-0.628587
Br6126	0.106673
Br6000	-0.140078
Br8042	-0.253238
Br5840	-0.101582
Br5960	0.0268449
Br6192	-1.01545
Br6021	-0.238323
Br6203	-0.539425
Br5902	0.135941
Br8092	-0.647591
Br5920	-0.187793
Br2701	-1.03951
Br6148	-0.241374
Br6197	-0.699886
Br8104	-1.01480
Br8127	-0.817810
Br8134	-0.476638
Br8136	-0.430345
Br8073	-0.591309
Br6231	-0.671472
Br6316	-0.609961
Br6238	-0.537090
Br6344	-0.471689
Br8158	-1.00577
Br8325	-0.513417
Br8221	-0.367245
Br6256	-0.309237
Br2726	-0.0461434
Br8404	-0.0434408
Br6366	-0.545907
Br6436	-0.385875
Br6424	-0.374704
Br6432	-0.637543
Br6382	-0.210510
Br6413	-0.201962
Br6450	-0.589897
Br6471	-0.0385868
Br6489	-0.0414782
Br6529	-0.840328
Br6499	-0.610072
Br8492	-0.689301
Br8665	-0.631156
Br8667	-0.736576
Br8741	-0.127639
Br2765	-0.975985
Br6588	-0.853413
Br3893	-0.165256
Br2761	-0.368638
Br3998	-0.566362
Br3881	-0.835072
Br8210	-0.0671967
Br8433	-0.313787
Br8237	-0.370257
Br6320	-0.391252
Br2720	-0.643741
Br6279	-0.651877
Br6297	-0.583741
Br6114	-0.410670
Br8485	-0.511485
Br8600	-0.737661
Br8677	-1.09692
Br5367	-0.215607
Br2371	-0.601451
Br5314	-0.806361
Br5276	-0.520465
Br5228	-0.664544
Br5280	-0.684985
