SAMPLE	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	MDD_MDD_2025_pgs_a0.5_b2e-08	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07
Br1092	-0.520929	-0.224003	-1.54323
Br1113	-0.00877081	0.289368	-0.312729
Br1204	-0.2621	-0.197909	-0.548932
Br2371	-0.601451	-0.194445	-1.66755
Br2701	-1.03951	-0.500286	-2.58989
Br2720	-0.643741	-0.281725	-1.24466
Br2726	-0.0461434	-0.198211	-0.987201
Br2761	-0.368638	-0.285401	-1.16458
Br2765	-0.975985	-0.233154	-1.6235
Br3881	-0.835072	-0.184151	-1.3465
Br3893	-0.165256	0.179493	0.0461173
Br3998	-0.566362	-0.146677	-1.63569
Br5137	-1.00517	-0.0821881	-1.34975
Br5156	0.111792	0.0389711	-0.987255
Br5228	-0.664544	-0.119003	-0.867357
Br5249	-0.0327815	0.0475891	-0.949535
Br5266	-0.395485	-0.0504133	-0.755376
Br5272	-0.363795	-0.163303	-1.80522
Br5276	-0.520465	-0.0234228	-1.99378
Br5280	-0.684985	-0.0228067	-1.82406
Br5288	-0.0679463	0.0329051	-0.471132
Br5312	-0.385719	0.253528	-0.507314
Br5314	-0.806361	-0.134873	-0.918932
Br5366	-1.19385	-0.327999	-2.19941
Br5367	-0.215607	-0.0144331	-0.951645
Br5392	-0.911718	0.27801	-1.43195
Br5395	-0.0778092	-0.0961662	0.0815805
Br5400	-0.183764	-0.156381	-0.830086
Br5436	-0.331889	-0.115116	-1.72453
Br5437	-0.450127	-0.176598	-0.64219
Br5440	-0.184262	0.250879	-0.245369
Br5448	-0.39637	0.0964228	-0.699686
Br5451	-0.261837	0.22496	-1.24585
Br5454	-0.587585	0.00371188	-1.3642
Br5472	-0.867895	-0.0162017	-1.75885
Br5477	-0.35361	-0.0554308	-0.842986
Br5481	-0.499343	-0.186917	0.0530984
Br5558	-0.122549	-0.0344792	-0.425089
Br5572	-0.341042	0.141089	-0.697773
Br5589	-0.688624	-0.100528	-0.815676
Br5594	-0.941955	-0.181579	-2.15278
Br5599	-0.544059	0.052925	-1.03301
Br5600	-0.521906	0.341674	-1.66139
Br5617	-0.386113	0.291736	-0.937895
Br5622	-0.639056	0.0362691	-0.916148
Br5623	-0.315974	0.0833286	-0.923943
Br5639	-0.183175	-0.088876	-0.945798
Br5666	-0.628587	-0.257442	-2.59347
Br5673	-0.00636265	0.118245	-0.46953
Br5694	-1.01047	0.03031	-2.21406
Br5753	-0.593571	0.208919	-1.75861
Br5760	-0.767563	-0.157165	-1.09017
Br5799	-0.159295	0.159928	-0.931973
Br5803	-0.108981	-0.0415272	-1.49221
Br5831	-0.576454	-0.0954946	-1.50597
Br5834	-0.58433	-0.29656	-1.10577
Br5840	-0.101582	-0.165021	-0.400815
Br5856	-0.54176	-0.359369	-0.194392
Br5861	-0.589899	-0.31616	-1.33457
Br5902	0.135941	-0.109095	0.192218
Br5910	-0.643099	-0.185563	-2.3501
Br5916	-0.68143	-0.305551	-0.298876
Br5920	-0.187793	0.0726794	-1.09533
Br5939	-0.207687	0.217463	-0.914061
Br5958	-0.563206	-0.0658945	-0.364706
Br5960	0.0268449	0.0103142	-0.970634
Br5993	-0.777752	-0.15033	-2.31686
Br6000	-0.140078	0.296131	0.185478
Br6016	-0.39277	0.0198585	-1.22992
Br6021	-0.238323	-0.0971944	-0.803496
Br6114	-0.41067	-0.20919	-1.7872
Br6126	0.106673	0.18131	0.293079
Br6148	-0.241374	0.183362	0.053455
Br6192	-1.01545	-0.087791	-1.99327
Br6197	-0.699886	0.0615082	-1.25295
Br6203	-0.539425	-0.146512	-1.14497
Br6231	-0.671472	-0.0798992	-1.26622
Br6238	-0.53709	0.251503	-0.871178
Br6256	-0.309237	0.116655	-0.886559
Br6279	-0.651877	-0.150205	-0.284059
Br6297	-0.583741	0.0138111	-0.999499
Br6316	-0.609961	-0.183446	-0.302003
Br6320	-0.391252	-0.161819	-0.938422
Br6344	-0.471689	0.00201811	-1.42139
Br6366	-0.545907	-0.00776514	-1.17166
Br6382	-0.21051	0.0618698	-0.154629
Br6413	-0.201962	0.0788342	-0.291399
Br6424	-0.374704	-0.120187	-0.71972
Br6432	-0.637543	-0.19676	-2.27405
Br6436	-0.385875	-0.0235979	-1.31368
Br6450	-0.589897	-0.0783758	-0.903907
Br6471	-0.0385868	-0.292838	-1.18395
Br6489	-0.0414782	0.000834633	-0.136783
Br6499	-0.610072	-0.0524616	-0.737295
Br6529	-0.840328	-0.330808	-0.4445
Br6588	-0.853413	-0.469068	-1.8871
Br8042	-0.253238	-0.109827	-0.666398
Br8073	-0.591309	0.0121089	-1.42201
Br8092	-0.647591	-0.236496	-0.535348
Br8100	-1.02121	-0.171748	-1.37837
Br8104	-1.0148	-0.0277766	-1.63291
Br8127	-0.81781	-0.250386	-1.68943
Br8134	-0.476638	-0.0525351	-0.57833
Br8136	-0.430345	0.239465	-1.42741
Br8158	-1.00577	-0.247531	-1.34537
Br8210	-0.0671967	0.19154	-0.332378
Br8218	-0.211252	0.235746	-1.28762
Br8221	-0.367245	0.15166	-1.22428
Br8237	-0.370257	0.0194257	-1.03211
Br8325	-0.513417	-0.0509769	-2.0044
Br8404	-0.0434408	-0.0123443	-0.856512
Br8433	-0.313787	0.00164462	-1.69124
Br8485	-0.511485	-0.0320056	-0.982043
Br8492	-0.689301	-0.178872	-1.39848
Br8600	-0.737661	0.224908	-0.609508
Br8665	-0.631156	-0.00856619	-1.63147
Br8667	-0.736576	-0.0785768	-0.666099
Br8677	-1.09692	-0.0604995	-2.32981
Br8741	-0.127639	-0.215047	-0.117977
